level,r_bits,error_weight,test,counter,n_right,n_wrong
#0,threshold=86
5,40973,264,1,4,0,0
5,40973,264,1,5,0,0
5,40973,264,1,6,0,0
5,40973,264,1,7,0,0
5,40973,264,1,8,0,0
5,40973,264,1,9,0,0
5,40973,264,1,10,0,0
5,40973,264,1,11,0,0
5,40973,264,1,12,0,0
5,40973,264,1,13,0,0
5,40973,264,1,14,0,0
5,40973,264,1,15,0,0
5,40973,264,1,16,0,0
5,40973,264,1,17,0,0
5,40973,264,1,18,0,0
5,40973,264,1,19,0,0
5,40973,264,1,20,0,0
5,40973,264,1,21,0,0
5,40973,264,1,22,0,0
5,40973,264,1,23,0,0
5,40973,264,1,24,0,0
5,40973,264,1,25,0,0
5,40973,264,1,26,0,0
5,40973,264,1,27,0,0
5,40973,264,1,28,0,0
5,40973,264,1,29,0,0
5,40973,264,1,30,0,0
5,40973,264,1,31,0,0
5,40973,264,1,32,0,0
5,40973,264,1,33,0,0
5,40973,264,1,34,2,0
5,40973,264,1,35,2,0
5,40973,264,1,36,1,0
5,40973,264,1,37,9,0
5,40973,264,1,38,15,0
5,40973,264,1,39,30,0
5,40973,264,1,40,51,0
5,40973,264,1,41,114,0
5,40973,264,1,42,176,0
5,40973,264,1,43,264,0
5,40973,264,1,44,415,0
5,40973,264,1,45,603,0
5,40973,264,1,46,865,0
5,40973,264,1,47,1160,0
5,40973,264,1,48,1603,0
5,40973,264,1,49,2000,0
5,40973,264,1,50,2550,0
5,40973,264,1,51,3131,0
5,40973,264,1,52,3694,0
5,40973,264,1,53,4326,0
5,40973,264,1,54,4798,0
5,40973,264,1,55,5233,0
5,40973,264,1,56,5542,0
5,40973,264,1,57,5596,0
5,40973,264,1,58,5527,0
5,40973,264,1,59,5499,0
5,40973,264,1,60,4972,0
5,40973,264,1,61,4530,0
5,40973,264,1,62,4093,0
5,40973,264,1,63,3390,0
5,40973,264,1,64,2833,0
5,40973,264,1,65,2336,1
5,40973,264,1,66,1774,0
5,40973,264,1,67,1345,0
5,40973,264,1,68,1016,0
5,40973,264,1,69,723,1
5,40973,264,1,70,519,1
5,40973,264,1,71,365,4
5,40973,264,1,72,221,10
5,40973,264,1,73,151,6
5,40973,264,1,74,92,10
5,40973,264,1,75,51,16
5,40973,264,1,76,30,8
5,40973,264,1,77,12,13
5,40973,264,1,78,9,21
5,40973,264,1,79,7,13
5,40973,264,1,80,3,16
5,40973,264,1,81,2,18
5,40973,264,1,82,1,18
5,40973,264,1,83,1,18
5,40973,264,1,84,0,16
5,40973,264,1,85,0,20
5,40973,264,1,86,0,13
5,40973,264,1,87,0,13
5,40973,264,1,88,0,11
5,40973,264,1,89,0,8
5,40973,264,1,90,0,4
5,40973,264,1,91,0,3
5,40973,264,1,92,0,2
5,40973,264,1,93,0,0
5,40973,264,1,94,0,0
5,40973,264,1,95,0,0
5,40973,264,1,96,0,0
5,40973,264,1,97,0,0
5,40973,264,1,98,0,0
5,40973,264,1,99,0,0
5,40973,264,1,100,0,0
5,40973,264,1,101,0,0
5,40973,264,1,102,0,0
5,40973,264,1,103,0,0
5,40973,264,1,104,0,0
5,40973,264,1,105,0,0
5,40973,264,1,106,0,0
5,40973,264,1,107,0,0
5,40973,264,1,108,0,0
5,40973,264,1,109,0,0
5,40973,264,1,110,0,0
5,40973,264,1,111,0,0
5,40973,264,1,112,0,0
5,40973,264,1,113,0,0
5,40973,264,1,114,0,0
5,40973,264,1,115,0,0
5,40973,264,1,116,0,0
5,40973,264,1,117,0,0
5,40973,264,1,118,0,0
5,40973,264,1,119,0,0
5,40973,264,1,120,0,0
5,40973,264,1,121,0,0
5,40973,264,1,122,0,0
5,40973,264,1,123,0,0
5,40973,264,1,124,0,0
5,40973,264,1,125,0,0
5,40973,264,1,126,0,0
5,40973,264,1,127,0,0
5,40973,264,1,128,0,0
5,40973,264,1,129,0,0
5,40973,264,1,130,0,0
5,40973,264,1,131,0,0
5,40973,264,1,132,0,0
5,40973,264,1,133,0,0
