LEVEL,R_BITS,T1,decoder,nflips,av_errors_left,max_errors_left,n_tests
1,10601,134,BGF,NA,61.094600,106.000000,10000
1,10601,134,PickyFix,5,18.830100,73.000000,10000
1,10601,134,PickyFix,10,9.495400,70.000000,10000
1,10601,134,PickyFix,15,3.664200,48.000000,10000
1,10601,134,PickyFix,20,1.218600,42.000000,10000
1,10601,134,PickyFix,25,0.460200,28.000000,10000
1,10601,134,PickyFix,30,0.221100,65.000000,10000
1,10601,134,PickyFix,35,0.117800,53.000000,10000
1,10601,134,PickyFix,40,0.080600,28.000000,10000
1,10601,134,PickyFix,45,0.071100,43.000000,10000
1,10601,134,PickyFix,50,0.042800,25.000000,10000
1,10601,134,PickyFix,55,0.051600,33.000000,10000
1,10601,134,PickyFix,60,0.063700,19.000000,10000
1,10601,134,PickyFix,65,0.062100,43.000000,10000
1,10601,134,PickyFix,70,0.083900,22.000000,10000
1,10601,134,PickyFix,75,0.124400,36.000000,10000
1,10601,134,PickyFix,80,0.161600,41.000000,10000
1,10601,134,PickyFix,85,0.215700,40.000000,10000
1,10601,134,PickyFix,90,0.321800,48.000000,10000
1,10601,134,PickyFix,95,0.466300,58.000000,10000
1,10601,134,PickyFix,100,0.637200,42.000000,10000
1,10601,134,PickyFix,105,0.939700,105.000000,10000
1,10601,134,PickyFix,110,1.279900,62.000000,10000
1,10601,134,PickyFix,115,1.771500,66.000000,10000
1,10601,134,PickyFix,120,2.380200,56.000000,10000
1,10601,134,PickyFix,125,3.187900,60.000000,10000
1,10601,134,PickyFix,130,4.052400,69.000000,10000
1,10701,134,BGF,NA,61.200900,101.000000,10000
1,10701,134,PickyFix,5,15.633800,70.000000,10000
1,10701,134,PickyFix,10,7.339600,62.000000,10000
1,10701,134,PickyFix,15,2.512500,38.000000,10000
1,10701,134,PickyFix,20,0.703400,40.000000,10000
1,10701,134,PickyFix,25,0.222500,18.000000,10000
1,10701,134,PickyFix,30,0.092000,26.000000,10000
1,10701,134,PickyFix,35,0.042400,19.000000,10000
1,10701,134,PickyFix,40,0.023200,12.000000,10000
1,10701,134,PickyFix,45,0.014200,7.000000,10000
1,10701,134,PickyFix,50,0.015000,13.000000,10000
1,10701,134,PickyFix,55,0.011200,6.000000,10000
1,10701,134,PickyFix,60,0.018500,17.000000,10000
1,10701,134,PickyFix,65,0.024900,41.000000,10000
1,10701,134,PickyFix,70,0.021700,11.000000,10000
1,10701,134,PickyFix,75,0.035400,23.000000,10000
1,10701,134,PickyFix,80,0.043400,18.000000,10000
1,10701,134,PickyFix,85,0.060500,21.000000,10000
1,10701,134,PickyFix,90,0.084300,26.000000,10000
1,10701,134,PickyFix,95,0.138600,33.000000,10000
1,10701,134,PickyFix,100,0.195000,29.000000,10000
1,10701,134,PickyFix,105,0.280700,34.000000,10000
1,10701,134,PickyFix,110,0.446400,48.000000,10000
1,10701,134,PickyFix,115,0.624900,54.000000,10000
1,10701,134,PickyFix,120,0.814500,40.000000,10000
1,10701,134,PickyFix,125,1.237800,61.000000,10000
1,10701,134,PickyFix,130,1.712400,48.000000,10000
1,10801,134,BGF,NA,61.920200,97.000000,10000
1,10801,134,PickyFix,5,13.315400,64.000000,10000
1,10801,134,PickyFix,10,6.054500,44.000000,10000
1,10801,134,PickyFix,15,1.803400,48.000000,10000
1,10801,134,PickyFix,20,0.425300,26.000000,10000
1,10801,134,PickyFix,25,0.120700,30.000000,10000
1,10801,134,PickyFix,30,0.037800,12.000000,10000
1,10801,134,PickyFix,35,0.012300,7.000000,10000
1,10801,134,PickyFix,40,0.007500,6.000000,10000
1,10801,134,PickyFix,45,0.006400,4.000000,10000
1,10801,134,PickyFix,50,0.002200,2.000000,10000
1,10801,134,PickyFix,55,0.003300,5.000000,10000
1,10801,134,PickyFix,60,0.004200,10.000000,10000
1,10801,134,PickyFix,65,0.003300,6.000000,10000
1,10801,134,PickyFix,70,0.005200,11.000000,10000
1,10801,134,PickyFix,75,0.006500,9.000000,10000
1,10801,134,PickyFix,80,0.011900,14.000000,10000
1,10801,134,PickyFix,85,0.014000,10.000000,10000
1,10801,134,PickyFix,90,0.019100,19.000000,10000
1,10801,134,PickyFix,95,0.030900,15.000000,10000
1,10801,134,PickyFix,100,0.055900,19.000000,10000
1,10801,134,PickyFix,105,0.087200,47.000000,10000
1,10801,134,PickyFix,110,0.135300,23.000000,10000
1,10801,134,PickyFix,115,0.179200,23.000000,10000
1,10801,134,PickyFix,120,0.263900,36.000000,10000
1,10801,134,PickyFix,125,0.409500,42.000000,10000
1,10801,134,PickyFix,130,0.600100,64.000000,10000
1,10901,134,BGF,NA,63.057100,97.000000,10000
1,10901,134,PickyFix,5,11.742400,60.000000,10000
1,10901,134,PickyFix,10,5.117300,48.000000,10000
1,10901,134,PickyFix,15,1.313200,37.000000,10000
1,10901,134,PickyFix,20,0.247700,18.000000,10000
1,10901,134,PickyFix,25,0.058600,9.000000,10000
1,10901,134,PickyFix,30,0.017800,12.000000,10000
1,10901,134,PickyFix,35,0.008200,15.000000,10000
1,10901,134,PickyFix,40,0.003300,12.000000,10000
1,10901,134,PickyFix,45,0.000900,2.000000,10000
1,10901,134,PickyFix,50,0.001300,5.000000,10000
1,10901,134,PickyFix,55,0.000600,3.000000,10000
1,10901,134,PickyFix,60,0.000600,4.000000,10000
1,10901,134,PickyFix,65,0.001400,6.000000,10000
1,10901,134,PickyFix,70,0.000700,2.000000,10000
1,10901,134,PickyFix,75,0.002100,9.000000,10000
1,10901,134,PickyFix,80,0.001400,3.000000,10000
1,10901,134,PickyFix,85,0.004000,7.000000,10000
1,10901,134,PickyFix,90,0.003600,9.000000,10000
1,10901,134,PickyFix,95,0.008300,8.000000,10000
1,10901,134,PickyFix,100,0.013900,7.000000,10000
1,10901,134,PickyFix,105,0.019100,10.000000,10000
1,10901,134,PickyFix,110,0.031400,19.000000,10000
1,10901,134,PickyFix,115,0.052200,14.000000,10000
1,10901,134,PickyFix,120,0.082100,16.000000,10000
1,10901,134,PickyFix,125,0.113100,32.000000,10000
1,10901,134,PickyFix,130,0.201100,26.000000,10000
1,11001,134,BGF,NA,63.972100,96.000000,10000
1,11001,134,PickyFix,5,10.752700,51.000000,10000
1,11001,134,PickyFix,10,4.324600,52.000000,10000
1,11001,134,PickyFix,15,0.918000,17.000000,10000
1,11001,134,PickyFix,20,0.178100,12.000000,10000
1,11001,134,PickyFix,25,0.032700,8.000000,10000
1,11001,134,PickyFix,30,0.006800,5.000000,10000
1,11001,134,PickyFix,35,0.002400,5.000000,10000
1,11001,134,PickyFix,40,0.000600,1.000000,10000
1,11001,134,PickyFix,45,0.000600,2.000000,10000
1,11001,134,PickyFix,50,0.001300,9.000000,10000
1,11001,134,PickyFix,55,0.000000,0.000000,10000
1,11001,134,PickyFix,60,0.000100,1.000000,10000
1,11001,134,PickyFix,65,0.000000,0.000000,10000
1,11001,134,PickyFix,70,0.000200,1.000000,10000
1,11001,134,PickyFix,75,0.000300,1.000000,10000
1,11001,134,PickyFix,80,0.000200,1.000000,10000
1,11001,134,PickyFix,85,0.000200,1.000000,10000
1,11001,134,PickyFix,90,0.002700,11.000000,10000
1,11001,134,PickyFix,95,0.000900,1.000000,10000
1,11001,134,PickyFix,100,0.002300,8.000000,10000
1,11001,134,PickyFix,105,0.003800,5.000000,10000
1,11001,134,PickyFix,110,0.007800,15.000000,10000
1,11001,134,PickyFix,115,0.013200,11.000000,10000
1,11001,134,PickyFix,120,0.016000,7.000000,10000
1,11001,134,PickyFix,125,0.033500,14.000000,10000
1,11001,134,PickyFix,130,0.053700,14.000000,10000
1,11101,134,BGF,NA,64.505500,94.000000,10000
1,11101,134,PickyFix,5,9.699900,63.000000,10000
1,11101,134,PickyFix,10,3.572400,49.000000,10000
1,11101,134,PickyFix,15,0.752400,16.000000,10000
1,11101,134,PickyFix,20,0.128800,15.000000,10000
1,11101,134,PickyFix,25,0.016700,10.000000,10000
1,11101,134,PickyFix,30,0.003300,2.000000,10000
1,11101,134,PickyFix,35,0.001100,3.000000,10000
1,11101,134,PickyFix,40,0.000000,0.000000,10000
1,11101,134,PickyFix,45,0.000100,1.000000,10000
1,11101,134,PickyFix,50,0.000000,0.000000,10000
1,11101,134,PickyFix,55,0.000100,1.000000,10000
1,11101,134,PickyFix,60,0.000000,0.000000,10000
1,11101,134,PickyFix,65,0.000000,0.000000,10000
1,11101,134,PickyFix,70,0.000100,1.000000,10000
1,11101,134,PickyFix,75,0.000000,0.000000,10000
1,11101,134,PickyFix,80,0.000900,7.000000,10000
1,11101,134,PickyFix,85,0.000000,0.000000,10000
1,11101,134,PickyFix,90,0.000700,7.000000,10000
1,11101,134,PickyFix,95,0.000200,2.000000,10000
1,11101,134,PickyFix,100,0.000200,1.000000,10000
1,11101,134,PickyFix,105,0.001000,2.000000,10000
1,11101,134,PickyFix,110,0.000600,3.000000,10000
1,11101,134,PickyFix,115,0.003000,10.000000,10000
1,11101,134,PickyFix,120,0.004800,8.000000,10000
1,11101,134,PickyFix,125,0.007500,10.000000,10000
1,11101,134,PickyFix,130,0.013200,32.000000,10000
1,9401,134,BGF,NA,190.784900,341.000000,10000
1,9401,134,PickyFix,5,276.215300,422.000000,10000
1,9401,134,PickyFix,10,268.028200,418.000000,10000
1,9401,134,PickyFix,15,259.403000,409.000000,10000
1,9401,134,PickyFix,20,251.644000,385.000000,10000
1,9401,134,PickyFix,25,244.729400,383.000000,10000
1,9401,134,PickyFix,30,245.507100,413.000000,10000
1,9401,134,PickyFix,35,247.224700,395.000000,10000
1,9401,134,PickyFix,40,247.061300,405.000000,10000
1,9401,134,PickyFix,45,248.614200,400.000000,10000
1,9401,134,PickyFix,50,251.060600,418.000000,10000
1,9401,134,PickyFix,55,256.711100,399.000000,10000
1,9401,134,PickyFix,60,259.826200,422.000000,10000
1,9401,134,PickyFix,65,264.895700,413.000000,10000
1,9401,134,PickyFix,70,269.624600,424.000000,10000
1,9401,134,PickyFix,75,275.634100,442.000000,10000
1,9401,134,PickyFix,80,281.308200,439.000000,10000
1,9401,134,PickyFix,85,286.574800,444.000000,10000
1,9401,134,PickyFix,90,291.677400,434.000000,10000
1,9401,134,PickyFix,95,294.945700,424.000000,10000
1,9401,134,PickyFix,100,299.503700,434.000000,10000
1,9401,134,PickyFix,105,304.791300,447.000000,10000
1,9401,134,PickyFix,110,310.327900,440.000000,10000
1,9401,134,PickyFix,115,313.650600,457.000000,10000
1,9401,134,PickyFix,120,315.859100,461.000000,10000
1,9401,134,PickyFix,125,320.597500,459.000000,10000
1,9401,134,PickyFix,130,324.709600,455.000000,10000
1,11201,134,BGF,NA,64.600300,94.000000,10000
1,11201,134,PickyFix,5,8.842800,55.000000,10000
1,11201,134,PickyFix,10,2.984300,32.000000,10000
1,11201,134,PickyFix,15,0.644900,38.000000,10000
1,11201,134,PickyFix,20,0.088700,9.000000,10000
1,11201,134,PickyFix,25,0.008900,7.000000,10000
1,11201,134,PickyFix,30,0.001600,4.000000,10000
1,11201,134,PickyFix,35,0.000100,1.000000,10000
1,11201,134,PickyFix,40,0.000000,0.000000,10000
1,11201,134,PickyFix,45,0.000000,0.000000,10000
1,11201,134,PickyFix,50,0.000000,0.000000,10000
1,11201,134,PickyFix,55,0.000000,0.000000,10000
1,11201,134,PickyFix,60,0.000000,0.000000,10000
1,11201,134,PickyFix,65,0.000000,0.000000,10000
1,11201,134,PickyFix,70,0.000000,0.000000,10000
1,11201,134,PickyFix,75,0.000100,1.000000,10000
1,11201,134,PickyFix,80,0.000000,0.000000,10000
1,11201,134,PickyFix,85,0.000000,0.000000,10000
1,11201,134,PickyFix,90,0.000000,0.000000,10000
1,11201,134,PickyFix,95,0.000100,1.000000,10000
1,11201,134,PickyFix,100,0.000100,1.000000,10000
1,11201,134,PickyFix,105,0.000100,1.000000,10000
1,11201,134,PickyFix,110,0.000100,1.000000,10000
1,11201,134,PickyFix,115,0.000100,1.000000,10000
1,11201,134,PickyFix,120,0.002400,10.000000,10000
1,11201,134,PickyFix,125,0.001400,3.000000,10000
1,11201,134,PickyFix,130,0.002600,6.000000,10000
1,11301,134,BGF,NA,64.846700,95.000000,10000
1,11301,134,PickyFix,5,8.157800,51.000000,10000
1,11301,134,PickyFix,10,2.687300,37.000000,10000
1,11301,134,PickyFix,15,0.607300,14.000000,10000
1,11301,134,PickyFix,20,0.058300,8.000000,10000
1,11301,134,PickyFix,25,0.006100,3.000000,10000
1,11301,134,PickyFix,30,0.001000,2.000000,10000
1,11301,134,PickyFix,35,0.000000,0.000000,10000
1,11301,134,PickyFix,40,0.000000,0.000000,10000
1,11301,134,PickyFix,45,0.000000,0.000000,10000
1,11301,134,PickyFix,50,0.000000,0.000000,10000
1,11301,134,PickyFix,55,0.000000,0.000000,10000
1,11301,134,PickyFix,60,0.000000,0.000000,10000
1,11301,134,PickyFix,65,0.000000,0.000000,10000
1,11301,134,PickyFix,70,0.000000,0.000000,10000
1,11301,134,PickyFix,75,0.000000,0.000000,10000
1,11301,134,PickyFix,80,0.000000,0.000000,10000
1,11301,134,PickyFix,85,0.000000,0.000000,10000
1,11301,134,PickyFix,90,0.000000,0.000000,10000
1,11301,134,PickyFix,95,0.000000,0.000000,10000
1,11301,134,PickyFix,100,0.000100,1.000000,10000
1,11301,134,PickyFix,105,0.000000,0.000000,10000
1,11301,134,PickyFix,110,0.000000,0.000000,10000
1,11301,134,PickyFix,115,0.000000,0.000000,10000
1,11301,134,PickyFix,120,0.000400,3.000000,10000
1,11301,134,PickyFix,125,0.000300,2.000000,10000
1,11301,134,PickyFix,130,0.001500,4.000000,10000
1,11401,134,BGF,NA,65.888900,95.000000,10000
1,11401,134,PickyFix,5,8.033600,51.000000,10000
1,11401,134,PickyFix,10,2.517800,29.000000,10000
1,11401,134,PickyFix,15,0.537600,16.000000,10000
1,11401,134,PickyFix,20,0.046100,11.000000,10000
1,11401,134,PickyFix,25,0.002800,2.000000,10000
1,11401,134,PickyFix,30,0.000200,1.000000,10000
1,11401,134,PickyFix,35,0.000100,1.000000,10000
1,11401,134,PickyFix,40,0.000000,0.000000,10000
1,11401,134,PickyFix,45,0.000000,0.000000,10000
1,11401,134,PickyFix,50,0.000000,0.000000,10000
1,11401,134,PickyFix,55,0.000000,0.000000,10000
1,11401,134,PickyFix,60,0.000000,0.000000,10000
1,11401,134,PickyFix,65,0.000000,0.000000,10000
1,11401,134,PickyFix,70,0.000000,0.000000,10000
1,11401,134,PickyFix,75,0.000000,0.000000,10000
1,11401,134,PickyFix,80,0.000000,0.000000,10000
1,11401,134,PickyFix,85,0.000000,0.000000,10000
1,11401,134,PickyFix,90,0.000000,0.000000,10000
1,11401,134,PickyFix,95,0.000000,0.000000,10000
1,11401,134,PickyFix,100,0.000000,0.000000,10000
1,11401,134,PickyFix,105,0.000000,0.000000,10000
1,11401,134,PickyFix,110,0.000000,0.000000,10000
1,11401,134,PickyFix,115,0.000000,0.000000,10000
1,11401,134,PickyFix,120,0.000000,0.000000,10000
